0 0.107062
1000 0.101851
2000 0.0972278
3000 0.0921501
4000 0.0873004
5000 0.0826662
6000 0.07854
7000 0.0743429
8000 0.0692295
9000 0.0643101
10000 0.0599458
11000 0.0556045
12000 0.0512126
13000 0.0467123
14000 0.0432513
15000 0.0395293
16000 0.0361243
17000 0.0330026
18000 0.0299707
19000 0.0272293
20000 0.0246002
21000 0.0220946
22000 0.0199025
23000 0.0180708
24000 0.0162759
25000 0.0145359
26000 0.0128367
27000 0.0113908
28000 0.00999323
29000 0.00872347
30000 0.00757783
31000 0.00660167
32000 0.00577224
33000 0.00503769
34000 0.00435982
35000 0.003862
36000 0.00341556
37000 0.00300372
38000 0.00268038
39000 0.00241759
40000 0.00218821
41000 0.00197469
42000 0.00182348
43000 0.00171958
44000 0.00161605
45000 0.00153391
46000 0.00145998
47000 0.00139127
48000 0.00133579
49000 0.001285
50000 0.00123832
51000 0.00121597
52000 0.00117012
53000 0.00115203
54000 0.00112701
55000 0.00109391
56000 0.00108504
57000 0.00106283
58000 0.00104823
59000 0.00103223
60000 0.00101398
61000 0.0010017
62000 0.000995017
63000 0.000986672
64000 0.000975302
65000 0.000965952
66000 0.000962314
67000 0.000955882
68000 0.000948942
69000 0.000939735
70000 0.000928214
71000 0.000918196
72000 0.000915875
73000 0.000910119
74000 0.000899656
75000 0.000892468
76000 0.000889701
77000 0.000885992
78000 0.000876624
79000 0.000870183
80000 0.000865094
81000 0.000862016
82000 0.000858715
